tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Linguistics,135,Brigham Young University,Brent,,Allen,2324823,3,average,TEACHER,PROFESSOR,3.0
Life Science,135,Brigham Young University,Phil,,Allen,1236137,10,good,TEACHER,PROFESSOR,4.0
Mathematics,135,Brigham Young University,Mark,A,Allen,2247152,14,good,TEACHER,PROFESSOR,3.9
Comparative Literature,135,Brigham Young University,Julie,Kalani,Allen,2246859,16,good,TEACHER,PROFESSOR,4.0
Accounting,135,Brigham Young University,Abigail,McIntosh,Allen,2230744,12,good,TEACHER,PROFESSOR,4.7
Chemistry,135,Brigham Young University,Matthew,,Allen,2146380,4,good,TEACHER,PROFESSOR,4.5
Counseling Psychology,135,Brigham Young University,Lesli,,Allen,2723516,2,good,TEACHER,PROFESSOR,4.5
Information Systems,135,Brigham Young University,Gove,,Allen,1660883,23,good,TEACHER,PROFESSOR,4.3
Religion,135,Brigham Young University,Jane Mar,,Allis-Pike,843108,14,average,TEACHER,PROFESSOR,3.4
Anthropology,135,Brigham Young University,James,,Allison,449467,6,average,TEACHER,PROFESSOR,3.3
Biology,135,Brigham Young University,Loreen,,Allphin-Rapier,1484443,47,good,TEACHER,PROFESSOR,3.6
Business,135,Brigham Young University,Chad,,Allred,587699,12,good,TEACHER,PROFESSOR,3.8
University Studies,135,Brigham Young University,Barry,,Allred,2659918,1,good,TEACHER,PROFESSOR,5.0
Theater,135,Brigham Young University,Dane,,Allred,358771,29,good,TEACHER,PROFESSOR,4.5
Art,135,Brigham Young University,Melanie,,Allred,2663652,1,good,TEACHER,PROFESSOR,4.0
Science,135,Brigham Young University,David,D.,Allred,134371,76,average,TEACHER,PROFESSOR,3.0
Physical Ed,135,Brigham Young University,Philip Edmon,,Allsen,381911,17,good,TEACHER,PROFESSOR,4.6
Family Life,135,Brigham Young University,David,,Alsop,2239247,78,good,TEACHER,PROFESSOR,3.6
Family Studies,135,Brigham Young University,David,,Alsop,2250461,1,good,TEACHER,PROFESSOR,4.0
Chemistry,135,Brigham Young University,Mary,,Alvarez,1084598,56,average,TEACHER,PROFESSOR,3.3
Statistics,135,Brigham Young University,Jessica,Seege,Alvey,2217550,1,good,TEACHER,PROFESSOR,4.0
Spanish,135,Brigham Young University,Scott,,Alvord,838558,39,good,TEACHER,PROFESSOR,4.7
Spanish,135,Brigham Young University,Mayavel,,Amado,1385669,3,good,TEACHER,PROFESSOR,4.8
Civil Engineering,135,Brigham Young University,Daniel,P.,Ames,2220533,5,good,TEACHER,PROFESSOR,3.6
Business,135,Brigham Young University,Justin,,Ames,2292542,1,good,TEACHER,PROFESSOR,5.0
Music,135,Brigham Young University,James Mark,,Ammon,1433442,20,average,TEACHER,PROFESSOR,3.1
Music,135,Brigham Young University,James,,Ammons,1433441,8,good,TEACHER,PROFESSOR,3.6
Music,135,Brigham Young University,Mark,,Ammons,2608990,1,good,TEACHER,PROFESSOR,5.0
History,135,Brigham Young University,David,,Ammott,1757323,9,good,TEACHER,PROFESSOR,4.0
Art,135,Brigham Young University,David,,Amott,1932338,6,good,TEACHER,PROFESSOR,4.2
Humanities,135,Brigham Young University,Matthew,,Ancell,940204,53,good,TEACHER,PROFESSOR,3.6
Humanities,135,Brigham Young University,David,,Andersen,799782,67,average,TEACHER,PROFESSOR,3.1
