tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Health Science,136,Brigham Young University - Hawaii,Benjamin,,Chase,2586355,162,good,TEACHER,PROFESSOR,4.3
International Studies,136,Brigham Young University - Hawaii,Chiung Hwan,,Chen,1241274,14,average,TEACHER,PROFESSOR,2.6
Communication,136,Brigham Young University - Hawaii,Chiung,,Chen,2203949,24,poor,TEACHER,PROFESSOR,2.0
Accounting,136,Brigham Young University - Hawaii,Jennifer,,Chen,896278,19,average,TEACHER,PROFESSOR,2.6
Computer Science,136,Brigham Young University - Hawaii,Vasu,Nephi,Chetty,2186108,1,good,TEACHER,PROFESSOR,5.0
Physical Education,136,Brigham Young University - Hawaii,Martha,,Christensen,1870795,1,good,TEACHER,PROFESSOR,5.0
Religion,136,Brigham Young University - Hawaii,Jess,,Christensen,2043081,2,good,TEACHER,PROFESSOR,3.5
English,136,Brigham Young University - Hawaii,Perry,,Christensen,904189,14,good,TEACHER,PROFESSOR,4.5
Religion,136,Brigham Young University - Hawaii,Richard,,Christensen,2689851,1,good,TEACHER,PROFESSOR,5.0
Hospitality,136,Brigham Young University - Hawaii,Jeff,,Christensen,2524266,27,good,TEACHER,PROFESSOR,4.4
English,136,Brigham Young University - Hawaii,Anna Marie,,Christiansen,964360,26,good,TEACHER,PROFESSOR,4.3
Art History,136,Brigham Young University - Hawaii,Olivia,,Chrisy,1265241,3,good,TEACHER,PROFESSOR,3.8
Religion,136,Brigham Young University - Hawaii,Elder,,Cochran,1775192,2,good,TEACHER,PROFESSOR,5.0
Sociology,136,Brigham Young University - Hawaii,Kelly,,Coleman,2229873,1,good,TEACHER,PROFESSOR,5.0
Information Science,136,Brigham Young University - Hawaii,Don,,Colton,948714,11,good,TEACHER,PROFESSOR,3.6
Communication,136,Brigham Young University - Hawaii,Chad,,Compton,410282,16,good,TEACHER,PROFESSOR,3.6
History,136,Brigham Young University - Hawaii,Cynthia,,Compton,1140131,21,poor,TEACHER,PROFESSOR,2.3
Religion,136,Brigham Young University - Hawaii,David,,Cook,1453602,2,good,TEACHER,PROFESSOR,4.0
Chemistry,136,Brigham Young University - Hawaii,Richard,,Cornwall,2305108,16,average,TEACHER,PROFESSOR,3.3
Business,136,Brigham Young University - Hawaii,Cary,,Countryman,2106888,5,poor,TEACHER,PROFESSOR,2.0
Hospitality,136,Brigham Young University - Hawaii,Cary,,Countryman,2155159,4,good,TEACHER,PROFESSOR,3.8
Languages,136,Brigham Young University - Hawaii,Tom,,Court,2661552,1,good,TEACHER,PROFESSOR,5.0
History,136,Brigham Young University - Hawaii,Kanekoa,,Crabbe,1798533,15,good,TEACHER,PROFESSOR,4.3
Religion,136,Brigham Young University - Hawaii,Stan,,Crippen,2722663,1,good,TEACHER,PROFESSOR,5.0
Information Systems,136,Brigham Young University - Hawaii,Aaron,,Curtis,1579680,6,good,TEACHER,PROFESSOR,3.6
English,136,Brigham Young University - Hawaii,Jacob,,Cutler,2165819,2,good,TEACHER,PROFESSOR,5.0
History,136,Brigham Young University - Hawaii,Brian,,Dawson,2133305,13,poor,TEACHER,PROFESSOR,2.0
Biology,136,Brigham Young University - Hawaii,Randy,,Day,1442402,13,good,TEACHER,PROFESSOR,4.0
English,136,Brigham Young University - Hawaii,Becky,,De Martini,2657233,1,good,TEACHER,PROFESSOR,5.0
