tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Health Science,1754,Brigham Young University - Idaho,Toni,,Allman,2203671,3,good,TEACHER,PROFESSOR,5.0
Home amp Family Studies,1754,Brigham Young University - Idaho,Kenneth,,Allred,2297961,2,good,TEACHER,PROFESSOR,3.5
Religion,1754,Brigham Young University - Idaho,Brian,,Allred,2078010,4,good,TEACHER,PROFESSOR,4.2
Child & Family Studies,1754,Brigham Young University - Idaho,Sarah,,Allred,2525244,6,good,TEACHER,PROFESSOR,3.8
Communication,1754,Brigham Young University - Idaho,Jennifer,,Allred,1156647,27,good,TEACHER,PROFESSOR,4.5
Computer Science,1754,Brigham Young University - Idaho,Jason,Morgan,Allred,2736317,5,good,TEACHER,PROFESSOR,5.0
Computer Science,1754,Brigham Young University - Idaho,John,,Allred,2270784,11,poor,TEACHER,PROFESSOR,1.9
Theology,1754,Brigham Young University - Idaho,Philip,,Allred,256243,81,good,TEACHER,PROFESSOR,4.8
Mathematics,1754,Brigham Young University - Idaho,Alyssa,,Allsop,2102881,7,good,TEACHER,PROFESSOR,4.5
Business,1754,Brigham Young University - Idaho,Leo,,Almeida,2385531,3,good,TEACHER,PROFESSOR,4.0
English,1754,Brigham Young University - Idaho,Jon,,Alston,2074300,7,good,TEACHER,PROFESSOR,4.1
Home & Family Studies,1754,Brigham Young University - Idaho,Kayla,,Alva,2676703,1,good,TEACHER,PROFESSOR,4.0
Home & Family Studies,1754,Brigham Young University - Idaho,Jessica,L,Alvarado-Guardon,2467710,5,good,TEACHER,PROFESSOR,4.2
Computer Science,1754,Brigham Young University - Idaho,Zachariah,,Alvey,2390933,4,good,TEACHER,PROFESSOR,5.0
Accounting,1754,Brigham Young University - Idaho,Adna,,Ames,855728,53,average,TEACHER,PROFESSOR,3.5
Mathematics,1754,Brigham Young University - Idaho,Brett,,Amidan,2536487,14,good,TEACHER,PROFESSOR,4.5
Home & Family Studies,1754,Brigham Young University - Idaho,Daiana,G,Amyradakis,2350186,1,good,TEACHER,PROFESSOR,5.0
Psychology,1754,Brigham Young University - Idaho,Kimberly,,Andersen,345050,84,average,TEACHER,PROFESSOR,2.8
General Studies,1754,Brigham Young University - Idaho,Brett,,Andersen,1907767,3,good,TEACHER,PROFESSOR,5.0
Online Learning,1754,Brigham Young University - Idaho,Samantha,,Andersen,2128475,3,good,TEACHER,PROFESSOR,4.7
Political Science,1754,Brigham Young University - Idaho,Jane,,Andersen,2095113,7,good,TEACHER,PROFESSOR,4.6
Humanities,1754,Brigham Young University - Idaho,Jeff,,Andersen,895295,58,average,TEACHER,PROFESSOR,3.1
Social Science,1754,Brigham Young University - Idaho,Joyce,,Anderson,238969,18,good,TEACHER,PROFESSOR,4.3
Humanities,1754,Brigham Young University - Idaho,Owen,,Anderson,459608,20,good,TEACHER,PROFESSOR,3.7
"Ag Bus, Plant & Animal Sci",1754,Brigham Young University - Idaho,Kevin,,Anderson,957306,15,poor,TEACHER,PROFESSOR,2.2
English,1754,Brigham Young University - Idaho,Janelle,,Anderson,1462264,1,good,TEACHER,PROFESSOR,5.0
English,1754,Brigham Young University - Idaho,Kayla,,Anderson,1884277,6,good,TEACHER,PROFESSOR,3.8
Communication,1754,Brigham Young University - Idaho,Katie,,Anderson,1908492,5,good,TEACHER,PROFESSOR,4.1
Humanities,1754,Brigham Young University - Idaho,Jeff,,Anderson,1946687,8,good,TEACHER,PROFESSOR,3.6
Electrical Engineering,1754,Brigham Young University - Idaho,Allen,Andrew,Anderson,1971134,2,good,TEACHER,PROFESSOR,4.8
Nursing,1754,Brigham Young University - Idaho,Pamela,,Anderson,2112716,5,average,TEACHER,PROFESSOR,3.0
Religion,1754,Brigham Young University - Idaho,Ronald,Dean,Anderson,2152803,5,poor,TEACHER,PROFESSOR,1.6
Online Learning,1754,Brigham Young University - Idaho,Joe,Marv,Anderson,2246869,4,average,TEACHER,PROFESSOR,3.3
Animal Science,1754,Brigham Young University - Idaho,Kerry,,Anderson,2272252,1,poor,TEACHER,PROFESSOR,2.0
Computer Science,1754,Brigham Young University - Idaho,Kent,,Anderson,2467896,2,good,TEACHER,PROFESSOR,5.0
Religion,1754,Brigham Young University - Idaho,Caden,,Anderson,2473694,2,good,TEACHER,PROFESSOR,4.0
Health Science,1754,Brigham Young University - Idaho,Holly,,Anderson,2609956,1,good,TEACHER,PROFESSOR,5.0
Business,1754,Brigham Young University - Idaho,Hyram,,Anderson,2617223,1,good,TEACHER,PROFESSOR,5.0
Online Learning,1754,Brigham Young University - Idaho,Pam,,Anderson,2643558,1,good,TEACHER,PROFESSOR,5.0
Online Learning,1754,Brigham Young University - Idaho,Kyle,,Anderson,1869420,7,good,TEACHER,PROFESSOR,4.8
Computer Information Technology,1754,Brigham Young University - Idaho,Hyrum,,Anderson,2610490,2,average,TEACHER,PROFESSOR,3.0
Art,1754,Brigham Young University - Idaho,Brett,,Anderson,2658773,1,good,TEACHER,PROFESSOR,5.0
Business,1754,Brigham Young University - Idaho,Julie,Ann,Anderson,1869471,7,good,TEACHER,PROFESSOR,4.3
Religion,1754,Brigham Young University - Idaho,Ron,,Anderson,469059,126,good,TEACHER,PROFESSOR,4.0
Geology,1754,Brigham Young University - Idaho,Rachel,Smith,Anderson,2678012,1,average,TEACHER,PROFESSOR,3.0
Biology,1754,Brigham Young University - Idaho,Joseph F.,,Anderson,1648131,93,good,TEACHER,PROFESSOR,4.6
Construction,1754,Brigham Young University - Idaho,Benjamin,,Anderson,2658457,3,average,TEACHER,PROFESSOR,2.7
Computer Information Technology,1754,Brigham Young University - Idaho,Julie,Ann,Anderson,2631571,3,good,TEACHER,PROFESSOR,5.0
Online Learning,1754,Brigham Young University - Idaho,Kerry,,Anderson,2269536,17,good,TEACHER,PROFESSOR,3.6
Business,1754,Brigham Young University - Idaho,Don,,Anderson,2241075,5,poor,TEACHER,PROFESSOR,2.0
Marketing,1754,Brigham Young University - Idaho,Jim,,Anderson,2709687,1,good,TEACHER,PROFESSOR,4.0
Online Learning,1754,Brigham Young University - Idaho,Kelly,P,Anderson,1757327,12,good,TEACHER,PROFESSOR,4.2
Sociology,1754,Brigham Young University - Idaho,Sundy,,Anderson,2581317,5,good,TEACHER,PROFESSOR,5.0
Recreation,1754,Brigham Young University - Idaho,Tom,,Anderson,1694948,6,good,TEACHER,PROFESSOR,4.9
Business,1754,Brigham Young University - Idaho,Janet,,Anderson,2742387,1,good,TEACHER,PROFESSOR,4.0
Biology,1754,Brigham Young University - Idaho,Dirk,,Andreasen,2630710,1,poor,TEACHER,PROFESSOR,1.0
Computer Science,1754,Brigham Young University - Idaho,Ryan,,Andreasen,1694617,1,good,TEACHER,PROFESSOR,5.0
Health Science,1754,Brigham Young University - Idaho,Jared,,Andrews,2392276,1,good,TEACHER,PROFESSOR,5.0
Business,1754,Brigham Young University - Idaho,Chris,,Andrews,1509816,24,good,TEACHER,PROFESSOR,4.5
Health Science,1754,Brigham Young University - Idaho,Gregory,,Angus,2547459,10,good,TEACHER,PROFESSOR,4.5
Health  Human Performance,1754,Brigham Young University - Idaho,Juan,,Aponte,2212288,5,average,TEACHER,PROFESSOR,3.2
Health Science,1754,Brigham Young University - Idaho,Cambree,,Applegate,2360078,2,good,TEACHER,PROFESSOR,5.0
Communication,1754,Brigham Young University - Idaho,Jennifer,,Arbon,2736099,1,good,TEACHER,PROFESSOR,5.0
Recreation,1754,Brigham Young University - Idaho,Kari,,Archibald,547457,15,good,TEACHER,PROFESSOR,4.3
Mechanical Engineering,1754,Brigham Young University - Idaho,Erik,,Archibald,2635763,3,poor,TEACHER,PROFESSOR,2.3
Nursing,1754,Brigham Young University - Idaho,Rachel,,Ardern,2128766,3,poor,TEACHER,PROFESSOR,2.0
English,1754,Brigham Young University - Idaho,Lauri,D,Arensmeyer,1753893,1,good,TEACHER,PROFESSOR,4.0
History,1754,Brigham Young University - Idaho,Philip,,Armstrong,1599841,12,good,TEACHER,PROFESSOR,3.7
Foundations,1754,Brigham Young University - Idaho,Phillip,Douglas,Armstrong,2246710,1,good,TEACHER,PROFESSOR,5.0
Foundations,1754,Brigham Young University - Idaho,Gary,Tyler,Armstrong,2249532,4,good,TEACHER,PROFESSOR,4.5
Psychology,1754,Brigham Young University - Idaho,Erin,N,Armstrong,2531216,2,average,TEACHER,PROFESSOR,3.0
Information Systems,1754,Brigham Young University - Idaho,Bradley,,Armstrong,676829,147,good,TEACHER,PROFESSOR,4.0
Psychology,1754,Brigham Young University - Idaho,Nicole,,Armstrong,2338803,22,poor,TEACHER,PROFESSOR,1.6
Political Science,1754,Brigham Young University - Idaho,Ruth,,Arnell,1412512,11,good,TEACHER,PROFESSOR,4.6
Political Science,1754,Brigham Young University - Idaho,Ruth,,Arnell,1412512,11,good,TEACHER,PROFESSOR,4.6
Music,1754,Brigham Young University - Idaho,Annalisa,,Arnell,2029157,1,good,TEACHER,PROFESSOR,4.5
Automotive Technology,1754,Brigham Young University - Idaho,Jerum ,Kelly,Arnold,2073823,8,average,TEACHER,PROFESSOR,2.7
History,1754,Brigham Young University - Idaho,Lisa,,Arnold,2610296,6,good,TEACHER,PROFESSOR,4.8
English,1754,Brigham Young University - Idaho,Margaret,,Arsenault,1701544,4,good,TEACHER,PROFESSOR,4.8
English,1754,Brigham Young University - Idaho,Toni,,Asay,2028607,9,good,TEACHER,PROFESSOR,4.4
Psychology,1754,Brigham Young University - Idaho,Nathan,,Asbell,1889126,9,poor,TEACHER,PROFESSOR,2.3
International Studies,1754,Brigham Young University - Idaho,David,,Ashby,2640469,1,good,TEACHER,PROFESSOR,5.0
Music,1754,Brigham Young University - Idaho,Eda,,Ashby,1003224,41,good,TEACHER,PROFESSOR,4.3
Mathematics,1754,Brigham Young University - Idaho,Carol,,Ashcraft,2576242,4,good,TEACHER,PROFESSOR,5.0
Religion,1754,Brigham Young University - Idaho,Kendrick,,Ashcroft,2106571,5,average,TEACHER,PROFESSOR,3.2
Religion,1754,Brigham Young University - Idaho,Ken,,Ashcroftk,2106553,1,poor,TEACHER,PROFESSOR,1.0
Health Science,1754,Brigham Young University - Idaho,Cassity,,Asher,2406079,5,poor,TEACHER,PROFESSOR,2.0
